 3.95559  0.32  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.1094  
 3.39967  0.086  
 3.39967  0.086  
 3.39967  0.086  
 3.0524   0.45979  
 3.11815  0.061  
 1.06908  0.0157  
 2.64953  0.0157  
 2.47135  0.0157  
 2.29317  0.0157  
 2.11499  0.0157  
 2.59964  0.015  
 2.51055  0.015  
 2.42146  0.015  
 0  	  0  
 1.06908  0.0157  
 0  	  0  
 1.95998  0.0157  
 4.18722  0.4  
 4.40104  0.1  
 3.3284   0.00277  
 8.90899  0.1  
 1.41225  0.894699  
 3.25     0.17  
 3.25     0.17  
 3.25     0.17  
 3.25     0.17  
 3.25     0.17  
 3.25     0.17  
 3.25     0.17  
 2.95992  0.21  
 3.15061  0.1521  
 3.06647  0.2104  
 3.00001  0.17  
 2.95992  0.21  
 3.74177  0.2  
 3.56359  0.25  
 3.56359  0.25  
 3.39967  0.086  
 4.73602  0.000328  
 5.26699  0.00017  
 6.0492   8.05999e-05  
 3.16557  0.155504  
 0  	  0  
 2.0259   0.0183  
 1.95998  0.0125  
 0  	  0  
 3.16435  0.16275  
 0  	  0  
 3.15365  0.155  
 0  	  0  
 3.12     0.16  
 0  	  0  
 0        0  
 0        0  

