96 3
# 
1.525  620  
 1.323  900  
 1.08   734  
 1.08   734  
 1.364  900  
 1.24   960  
 1.766  464  
 1.944  318  
 2.166  296  
 1.359  772  
 1.727  386  
 2.075  342  
 1.89   344  
 0.9572 1106  
 1.5136 1106  
 1.409  938  
 1.419  894  
 1.444  820  
 1.522  634  
 1.383  848  
 1.388  836  
 1.358  914  
 1.229  1140  
 1.25   1312  
 1.364  900  
 1.4    938  
 1.404  938  
 1.433  854  
 1.51   634  
 1.08   734  
 1.08   734  
 1.34   962  
 1.381  854  
 1.339  966  
 1.37   1040  
 1.374  872  
 1.391  828  
 1.354  922  
 1.08   734  
 1.371  880  
 1.304  1058  
 1.35   1098  
 1.51   634  
 1.08   734  
 1.08   734  
 1.08   734  
 1.365  896  
 1.08   734  
 1.324  1004  
 1.526  620  
 1.09   680  
 1.09   680  
 1.09   680  
 1.09   680  
 1.09   680  
 1.475  674  
 1.463  674  
 1.41   640  
 1.41   640  
 1.01   868  
 1.01   868  
 1.01   868  
 0.96   1106  
 0.96   1106  
 1.48   1050  
 1.61   460  
 1.61   460  
 1.08   734  
 1.335  980  
 1.459  776  
 1.495  634  
 1.352  1092  
 1.4    938  
 1.419  894  
 1.504  634  
 1.375  1024  
 1.371  1036  
 1.385  844  
 1.394  820  
 1.38   856  
 1.08   734  
 1.343  954  
 1.335  976  
 1.449  674  
 1.471  734  
 1.81   454  
 1.81   474  
 1.08   734  
 1.394  820  
 1.08   734  
 1.381  854  
 1.01   868  
 1.01   868  
 1.336  548  
 2.038  332  
 1.38   734  
