#  i    j    k    l   func     coefficients (OPLS Fourier dihedraltypes translated to Gromacs Ryckaert-Bellemans form according to the formula in the Gromacs manual)
  C_3    CT_2   CT     OH      3    -15.47661  11.82816   3.64845   0.00000   0.00000   0.00000 
  C      CT_2   CT     SH      3    -16.25902   9.08765   7.17138   0.00000   0.00000   0.00000 
  C      CT_2   N3     H3      3      0.72592   2.17777   0.00000  -2.90370   0.00000   0.00000 
  C_3    CT_2   N3     H3      3      0.72592   2.17777   0.00000  -2.90370   0.00000   0.00000 
  C      CT_2   N3     CT_3    3     -5.72371 -18.33847  -5.23419  29.29636   0.00000   0.00000 
  C      CT_2   NT     CT_3    3     -5.72371 -18.33847  -5.23419  29.29636   0.00000   0.00000 
  C*     CT     CT     HC      3      0.96650   2.89951   0.00000  -3.86601   0.00000   0.00000 
  C*     CT     CT_2   N       3     -0.76567   2.70705   4.02501  -5.96639   0.00000   0.00000 
  C*     CT     CT_2   HC      3      0.96650   2.89951   0.00000  -3.86601   0.00000   0.00000 
  C*     CT     CT_2   N3      3     -0.76567   2.70705   4.02501  -5.96639   0.00000   0.00000 
  C*     CW     NA     H       3     12.55200   0.00000 -12.55200   0.00000   0.00000   0.00000 
  C*     CW     NA     CN      3     12.55200   0.00000 -12.55200   0.00000   0.00000   0.00000 
  C3     CT     OH     HO      3      0.41840   1.25520   0.00000  -1.67360   0.00000   0.00000 
  C=     CM     CA     CA      3     16.02681  -4.39111 -14.02895   2.39325   0.00000   0.00000 
  C=     CM     CT     CT      3      0.52719  -6.39734  -1.69452   7.56467   0.00000   0.00000 
  C=     CM     OS     CT      3      5.23000   7.32200 -12.55200   0.00000   0.00000   0.00000 
  C=     CT     OH     HO      3     -1.88280   1.88280   0.00000   0.00000   0.00000   0.00000 
  CA     C      OH     HO      3     29.28800  -8.36800 -20.92000   0.00000   0.00000   0.00000 
  CA     C      OS     CT      3     29.28800  -8.36800 -20.92000   0.00000   0.00000   0.00000 
  CA     N      C      O       3     25.47638   0.00000 -25.47638   0.00000   0.00000   0.00000 
  CA     N      C      CT      3     30.28798  -4.81160 -25.47638   0.00000   0.00000   0.00000 
  CA     N      CT     HC      3      0.00000   0.00000   0.00000   0.00000   0.00000   0.00000 
  CA     S      CT     HC      3      1.35352   4.06057   0.00000  -5.41410   0.00000   0.00000 
  CA     CA     C      N       3      4.60240   0.00000  -4.60240   0.00000   0.00000   0.00000 
  CA     CA     C      O       3      8.78640   0.00000  -8.78640   0.00000   0.00000   0.00000 
  CA     CA     C      CT      3      0.83680   0.00000  -0.83680   0.00000   0.00000   0.00000 
  CA     CA     C      HC      3      0.83680   0.00000  -0.83680   0.00000   0.00000   0.00000 
  CA     CA     C      OH      3      8.78640   0.00000  -8.78640   0.00000   0.00000   0.00000 
  CA     CA     C      OS      3      8.78640   0.00000  -8.78640   0.00000   0.00000   0.00000 
  CA     CA     C      O_2     3      8.78640   0.00000  -8.78640   0.00000   0.00000   0.00000 
  CA     CA     C      O_3     3      8.78640   0.00000  -8.78640   0.00000   0.00000   0.00000 
  CA     CA     S      CT      3      2.51040   0.00000  -2.51040   0.00000   0.00000   0.00000 
  CA     CA     CA     N2      3      0.00000   0.00000  16.73600   0.00000 -16.73600   0.00000 
  CA     CA     CM     CM      3     16.02681  -4.39111 -14.02895   2.39325   0.00000   0.00000 
  CA     CA     CM     CT      3     -1.79284  -0.42886   2.22170   0.00000   0.00000   0.00000 
  CA     CA     CT     F       3      0.00000   0.00000   0.00000   0.00000   0.00000   0.00000 
  CA     CA     CT     CT      3      0.00000   0.00000   0.00000   0.00000   0.00000   0.00000 
  CA     CA     CT     Cl      3      0.00000   0.00000   0.00000   0.00000   0.00000   0.00000 
  CA     CA     CT     HC      3      0.00000   0.00000   0.00000   0.00000   0.00000   0.00000 
  CA     CA     N2     H       3      8.49352   0.00000  -8.49352   0.00000   0.00000   0.00000 
  CA     CA     N2     H3      3      5.85760   0.00000  -5.85760   0.00000   0.00000   0.00000 
  CA     CA     NO     ON      3      4.81160   0.00000  -4.81160   0.00000   0.00000   0.00000 
  CA     CA     NT     H       3      8.49352   0.00000  -8.49352   0.00000   0.00000   0.00000 
  CA     CA     NT     CT      3      5.18398  35.93219 -14.35530 -26.76086   0.00000   0.00000 
  CA     CA     OH     HO      3      7.03749   0.00000  -7.03749   0.00000   0.00000   0.00000 
  CA     CA     OS     P       3     12.51016   0.00000 -12.51016   0.00000   0.00000   0.00000 
  CT     CT     OS     P       3     12.51016   0.00000 -12.51016   0.00000   0.00000   0.00000 
  N3     CT     CT     OS      3      2.92880  -1.46440   0.20920  -1.67360   0.00000   0.00000 
  CA     CA     OS     CT      3     12.55200   0.00000 -12.55200   0.00000   0.00000   0.00000 
  CA     CA     OS     C_2     3     10.46000   0.00000 -10.46000   0.00000   0.00000   0.00000 
  CA     CA     SH     HS      3      4.60240   0.00000  -4.60240   0.00000   0.00000   0.00000 
  CA     CA     SY     N       3      0.00628  -4.19864   3.21331   0.97905   0.00000   0.00000 
  CA     CA     SY2    CT      3     -3.76560   0.00000   3.76560   0.00000   0.00000   0.00000 
  CA     CA     C_2    CT      3      0.83680   0.00000  -0.83680   0.00000   0.00000   0.00000 
  CA     CA     C_2    HC      3      0.83680   0.00000  -0.83680   0.00000   0.00000   0.00000 
  CA     CT     C      O       3      2.28446   0.00000  -2.28446   0.00000   0.00000   0.00000 
  CA     CT     C      O_3     3      2.28446   0.00000  -2.28446   0.00000   0.00000   0.00000 
  CT     CT     N      CT      3     -8.97677 -76.68644  -8.61067  94.27389   0.00000   0.00000 
  CA     CT     N      CT      3     -8.97677 -76.68644  -8.61067  94.27389   0.00000   0.00000 
  CA     CT     P      O2      3      0.00000   0.00000   0.00000   0.00000   0.00000   0.00000 
  CA     CT     P      OS      3      4.70700  -4.70700   0.00000   0.00000   0.00000   0.00000 
  CA     CT     CT     S       3      3.42461  -3.85974   2.59408  -2.15895   0.00000   0.00000 
  CA     CT     CT     CT      3      2.92880  -1.46440   0.20920  -1.67360   0.00000   0.00000 
  CA     CT     CT     HC      3      0.96650   2.89951   0.00000  -3.86601   0.00000   0.00000 
  CA     CT     CT_2   HC      3      0.96650   2.89951   0.00000  -3.86601   0.00000   0.00000 
  CA     CT     CT     N3      3      2.09200  -2.09200   0.00000   0.00000   0.00000   0.00000 
  CA     CT     CT     NC      3      5.77183  -2.67148   0.95814  -4.05848   0.00000   0.00000 
  CA     CT     CT     NT      3      3.33465  -1.55226   2.82001  -4.60240   0.00000   0.00000 
  CA     CT     CT_2   NT      3      3.33465  -1.55226   2.82001  -4.60240   0.00000   0.00000 
  CA     CT     CT     OH      3      2.87441   0.58158   2.09200  -5.54799   0.00000   0.00000 
  CA     CT     CT     OS      3      2.87441   0.58158   2.09200  -5.54799   0.00000   0.00000 
  CA     CT     CT     C_2     3     -4.23421   7.22159   1.90790  -4.89528   0.00000   0.00000 
  CA     CT     N2     CA      3      3.80117  -6.95172  -1.01671   4.16726   0.00000   0.00000 
  CA     CT     NT     CT      3      1.78866   3.49154   0.53555  -5.81576   0.00000   0.00000 
  CA     CT     OH     HO      3     -1.88280   1.88280   0.00000   0.00000   0.00000   0.00000 
  CA     CT     OS     CO      3      1.71544   2.84512   1.04600  -5.60656   0.00000   0.00000 
  CA     CT     OS     CT      3      1.71544   2.84512   1.04600  -5.60656   0.00000   0.00000 
  CA     CT     CT_2   N       3     -0.76567   2.70705   4.02501  -5.96639   0.00000   0.00000 
