#  i    j    k  func       th0       cth
  CM     CM     Br      1   120.000    627.600   
  Br     CM     HC      1   114.000    502.080   
  Br     CT     Br      1   111.700    652.704   
  HC     CT     Br      1   107.600    426.768   
  CA     CA     I       1   120.000    627.600   
  CA     CA     F       1   120.000    669.440   
  CM     CM     F       1   121.500    669.440   
  C      CM     F       1   121.500    669.440   
  F      CM     HC      1   112.000    418.400   
  F      CM     F       1   108.000    669.440   
  F      C      O       1   121.000    669.440   
  F      C      O_2     1   121.000    669.440   
  F      C      O_3     1   121.000    669.440   
  F      C_2    O_2     1   121.000    669.440   
  F      C      CT      1   111.000    669.440   
  F      C_2    CT      1   111.000    669.440   
  N      C      O       1   122.900    669.440   
  N      C      O_2     1   122.900    669.440   
  N      C      O_3     1   122.900    669.440   
  N      C_2    O_2     1   122.900    669.440   
  N      C      N       1   114.200    585.760   
  N      C_2    N       1   114.200    585.760   
  N*     C      NA      1   115.400    585.760   
  N*     C_2    NA      1   115.400    585.760   
  N*     C      NC      1   118.600    585.760   
  N*     C_2    NC      1   118.600    585.760   
  NA     C      NA      1   118.600    585.760   
  NA     C_2    NA      1   118.600    585.760   
  N*     C      O       1   120.900    669.440   
  N*     C      O_2     1   120.900    669.440   
  N*     C      O_3     1   120.900    669.440   
  N*     C_2    O_2     1   120.900    669.440   
  NA     C      O       1   120.600    669.440   
  NA     C      O_2     1   120.600    669.440   
  NA     C      O_3     1   120.600    669.440   
  NA     C_2    O_2     1   120.600    669.440   
  NC     C      O       1   122.500    669.440   
  NC     C      O_2     1   122.500    669.440   
  NC     C      O_3     1   122.500    669.440   
  NC     C_2    O_2     1   122.500    669.440   
  NC     C      NA      1   118.600    585.760   
  NC     C_2    NA      1   118.600    585.760   
  NA     CM     H4      1   119.100    292.880   
  N      CA     HA      1   119.100    292.880   
  ON     NO     ON      1   125.000    669.440   
  O_3    C      OH      1   121.000    669.440   
  O2     C_3    O2      1   126.000    669.440   
  CB     C*     CT      1   128.600    585.760   
  CB     C*     CW      1   106.400    711.280   
  CT     C*     CW      1   125.000    585.760   
  CB     CS     CT      1   128.600    585.760   
  CB     CS     CW      1   106.400    711.280   
  CT     CS     CW      1   125.000    585.760   
  CT     CT     NT      1   109.470    470.281   
  C3     CT     NT      1   109.470    470.281   
  CT     CT_2   NT      1   109.470    470.281   
  C      CA     CA      1   120.000    711.280   
  C_2    CA     CA      1   120.000    711.280   
  C_3    CA     CA      1   120.000    711.280   
  C      CA     HA      1   120.000    292.880   
  C_2    CA     HA      1   120.000    292.880   
  C_3    CA     HA      1   120.000    292.880   
  CA     CA     CA      1   120.000    527.184   
  CA     C!     CA      1   120.000    527.184   
  CA     C!     C!      1   120.000    527.184   
  CA     CA     C!      1   120.000    527.184   
  CA     C!     CR      1   120.000    527.184   
  CA     C!     CS      1   120.000    527.184   
  CA     C!     CW      1   120.000    527.184   
  CA     C!     CU      1   120.000    527.184   
  CA     C!     CV      1   120.000    527.184   
  CA     CA     CB      1   120.000    527.184   
  CA     CA     CN      1   120.000    711.280   
  CA     CA     CM      1   124.000    585.760   
  CA     CM     CT      1   119.700    711.280   
  CA     CM     C=      1   117.000    711.280   
  CA     CA     CT      1   120.000    585.760   
  CA     CA     NT      1   120.100    585.760   
  CA     CA     HA      1   120.000    292.880   
  C!     CA     HA      1   120.000    292.880   
  CT     NC     CQ      1   118.600    585.760   
  CT     NC     NZ      1   120.000    585.760   
  NC     NZ     NZ      1   180.000    836.800   
  CT     CT     NC      1   109.000    543.920   
  NC     CA     HA      1   116.000    292.880   
  CA     CA     NC      1   124.000    585.760   
  CA     C!     NC      1   124.000    585.760   
  C!     CA     NC      1   124.000    585.760   
  C!     C!     NC      1   124.000    585.760   
  CA     NC     CA      1   117.000    585.760   
  CA     NC     C!      1   117.000    585.760   
  CA     NC     CY      1   125.800    585.760   
  CA     CA     CW      1   107.400    585.760   
  CV     NA     H       1   120.000    292.880   
  CW     NA     CW      1   109.800    585.760   
  CW     NA     CT      1   125.800    585.760   
  CV     CW     NA      1   106.300    585.760   
  CV     CW     N       1   106.300    585.760   
  CW     CV     NB      1   111.000    585.760   
  CW     NA     CR      1   109.800    585.760   
  CB     NA     CR      1   109.800    585.760   
  CW     C=     C=      1   106.000    292.880   
  CA     NA     CK      1   109.800    585.760   
  NC     CA     CT      1   116.000    585.760   
  NC     CQ     CT      1   115.500    585.760   
  NC     CQ     O       1   122.500    669.440   
  NB     CV     CT      1   124.500    585.760   
  CA     CV     NB      1   111.000    585.760   
  CA     NC     NC      1   117.000    585.760   
  CT     NC     NC      1   117.000    585.760   
  OS     CW     CS      1   110.600    585.760   
  OS     CW     CA      1   110.600    585.760   
  OS     CW     C=      1   110.000    585.760   
  CW     OS     CW      1   106.500    585.760   
  CW     OS     CB      1   106.500    585.760   
  CR     OS     CB      1   106.500    585.760   
  OS     CW     HA      1   113.400    292.880   
  S      CW     HA      1   113.400    292.880   
  S      CR     CA      1   111.000    585.760   
  S      CR     HA      1   113.400    292.880   
  S      CW     CV      1   111.000    585.760   
  S      CW     CS      1   111.000    585.760   
  S      CW     N       1   115.000    585.760   
  NA     CW     CS      1   107.700    585.760   
  CW     CS     CS      1   107.300    585.760   
  CW     CS     HA      1   125.700    292.880   
  CW     CS     C!      1   125.700    585.760   
  CS     CW     C!      1   132.100    585.760   
  CS     CS     C!      1   127.500    585.760   
  CS     CW     HA      1   132.100    292.880   
  CS     CW     CT      1   132.100    585.760   
  CS     CW     CA      1   132.100    585.760   
  CS     CS     HA      1   127.500    292.880   
  CU     NB     NA      1   104.100    585.760   
  CW     NB     NA      1   104.100    585.760   
  NB     CU     HA      1   118.900    292.880   
  NB     CU     CA      1   111.900    585.760   
  NB     CU     CT      1   118.900    585.760   
  NB     CW     CT      1   118.900    585.760   
  NB     CW     S       1   115.000    585.760   
  CU     CS     CW      1   103.800    585.760   
  CW     CS     CW      1   103.800    585.760   
  NB     CU     CS      1   111.900    585.760   
  NB     CW     CS      1   111.900    585.760   
  CA     CU     HA      1   128.600    292.880   
  CU     CA     HA      1   128.200    292.880   
  CU     CA     CW      1   103.800    585.760   
  CU     NB     OS      1   105.300    585.760   
  NB     NA     CW      1   113.100    468.608   
  CB     NA     NB      1   113.100    468.608   
  CR     NA     CT      1   125.800    585.760   
  CR     NA     NB      1   113.100    468.608   
  NB     NA     H       1   118.400    468.608   
  NB     NA     CA      1   118.400    585.760   
  NB     NA     CT      1   118.400    585.760   
  CW     OS     NB      1   108.900    585.760   
  NB     CR     OS      1   115.000    585.760   
  NB     CR     S       1   115.000    585.760   
  CR     OS     CW      1   104.000    585.760   
  CV     CW     OS      1   108.000    585.760   
  HA     CR     OS      1   117.000    292.880   
  OS     CM     HC      1   114.500    292.880   
  CB     CA     HA      1   120.000    292.880   
  CB     CA     N2      1   123.500    585.760   
  CB     CA     NC      1   117.300    585.760   
  CM     CA     N2      1   120.100    585.760   
  CA     CA     N2      1   120.100    585.760   
  CM     CA     NC      1   121.500    585.760   
  CM     CA     NA      1   121.500    585.760   
  CN     CA     HA      1   120.000    292.880   
  NY     CA     NY      1   111.800    585.760   
  NZ     CA     NY      1   124.100    585.760   
  CA     NZ     H       1   113.000    292.880   
  CA     NZ     H3      1   113.000    292.880   
  CA     NY     H       1   112.500    418.400   
  CA     NY     H3      1   112.500    418.400   
  CA     NY     CT      1   120.500    418.400   
  H      NY     H       1   106.400    364.845   
  H3     NY     H3      1   106.400    364.845   
  CT     NY     H       1   109.500    292.880   
  CT     NY     H3      1   109.500    292.880   
  CT     CT     NY      1   111.200    669.440   
  HC     CT     NY      1   109.500    292.880   
  N2     CA     N2      1   120.000    585.760   
  N2     CA     NA      1   116.000    585.760   
  N2     CA     NC      1   119.300    585.760   
  N2     CQ     NC      1   119.300    585.760   
  N2     CQ     N       1   116.000    585.760   
  NA     CA     NC      1   123.300    585.760   
  C      CB     CB      1   119.200    711.280   
  C_2    CB     CB      1   119.200    711.280   
  C_3    CB     CB      1   119.200    711.280   
  C      CB     NB      1   130.000    585.760   
  C_2    CB     NB      1   130.000    585.760   
  C_3    CB     NB      1   130.000    585.760   
  N      CQ     NC      1   123.300    585.760   
  C      CS     CW      1   130.000    585.760   
  C_2    CS     CW      1   130.000    585.760   
  C_3    CS     CW      1   130.000    585.760   
  C      CB     CW      1   130.000    585.760   
  C_2    CB     CW      1   130.000    585.760   
  C_3    CB     CW      1   130.000    585.760   
  C*     CB     CA      1   134.900    711.280   
  CA     CB     CA      1   134.900    711.280   
  C*     CB     CN      1   108.800    711.280   
  CS     CB     CA      1   134.900    711.280   
  CS     CB     CN      1   108.800    711.280   
  CA     CB     CB      1   117.300    711.280   
