#  i    j    k  func       th0       cth
  CT     N3     H3      1   109.500    292.880   
  CT_2   N3     H3      1   109.500    292.880   
  CT     N3     H       1   109.500    292.880   
  CT_3   N3     H3      1   109.500    292.880   
  CT_3   N3     H       1   109.500    292.880   
  H3     N3     H3      1   109.500    292.880   
  H      N3     H       1   109.500    292.880   
  CT     N3     CT      1   113.000    418.400   
  CT_2   N3     CT_3    1   113.000    418.400   
  CT_2   N3     CT      1   113.000    418.400   
  C      NA     C       1   126.400    585.760   
  C      NA     C_2     1   126.400    585.760   
  C      NA     C_3     1   126.400    585.760   
  C_2    NA     C_2     1   126.400    585.760   
  C_2    NA     C_3     1   126.400    585.760   
  C_3    NA     C_3     1   126.400    585.760   
  C      N      C       1   126.400    585.760   
  C      NA     CA      1   125.200    585.760   
  C_2    NA     CA      1   125.200    585.760   
  C_3    NA     CA      1   125.200    585.760   
  C      N      CQ      1   125.200    585.760   
  C      NA     H       1   116.800    292.880   
  C_2    NA     H       1   116.800    292.880   
  C_3    NA     H       1   116.800    292.880   
  CA     NA     H       1   118.000    292.880   
  CQ     N      H       1   118.000    292.880   
  CN     NA     CW      1   111.600    585.760   
  CN     NA     H       1   123.100    292.880   
  CR     NA     H       1   120.000    292.880   
  CW     NA     H       1   120.000    292.880   
  CX     NA     H       1   120.000    292.880   
  CB     N*     CK      1   105.400    585.760   
  CB     N*     CT      1   125.800    585.760   
  CB     N*     H       1   125.800    251.040   
  CK     N*     CT      1   128.800    585.760   
  CK     N*     H       1   128.800    251.040   
  CB     NA     CK      1   105.400    585.760   
  CB     NA     CT      1   125.800    585.760   
  CB     NA     H       1   125.800    251.040   
  CK     NA     CT      1   128.800    585.760   
  CK     NA     H       1   128.800    251.040   
  CB     NB     CK      1   103.800    585.760   
  CR     NB     CV      1   110.000    585.760   
  CR     NB     CB      1   110.000    585.760   
  CR     NB     CW      1   110.000    585.760   
  C      NC     CA      1   120.500    585.760   
  C_2    NC     CA      1   120.500    585.760   
  C_3    NC     CA      1   120.500    585.760   
  CA     NC     CB      1   112.200    585.760   
  CA     NC     CQ      1   118.600    585.760   
  CQ     NC     CQ      1   118.600    585.760   
  CB     NC     CQ      1   111.000    585.760   
  CR     NC     CQ      1   111.000    585.760   
  C3     NT     H       1   108.100    361.498   
  H      NT     H       1   106.400    364.845   
  H      N      OH      1   110.200    292.880   
  C      N      OH      1   115.700    384.928   
  N      OH     HO      1   105.400    410.032   
  C      OH     HO      1   113.000    292.880   
  CA     OH     HO      1   113.000    292.880   
  CM     OH     HO      1   109.000    292.880   
  C3     OH     HO      1   108.500    460.240   
  CT     OH     HO      1   108.500    460.240   
  CT_4   OH     HO      1   108.500    460.240   
  HO     OH     P       1   108.500    376.560   
  C      OS     C3      1   116.900    694.544   
  C_2    OS     C3      1   116.900    694.544   
  O      C      OS      1   123.400    694.544   
  O      C_2    OS      1   123.400    694.544   
  O_2    C_2    OS      1   123.400    694.544   
  C      OS     CT      1   116.900    694.544   
  C_2    OS     CT      1   116.900    694.544   
  OS     C      CT      1   111.400    677.808   
  OS     C_2    CT      1   111.400    677.808   
  OS     C      CT_2    1   111.400    677.808   
  OS     C      CA      1   111.400    677.808   
  C      OS     CA      1   116.900    694.544   
  C_2    OS     CA      1   116.900    694.544   
  OS     CO     OH      1   111.550    774.876   
  OS     CO     OS      1   111.550    774.876   
  C3     OS     CO      1   113.000    836.800   
  C3     CO     OS      1   109.500    669.440   
  C3     CO     C3      1   109.500    334.720   
  OS     CO     CT      1   109.500    418.400   
  CO     CT     CT      1   112.700    488.273   
  CT     CO     OH      1   109.500    418.400   
  CT     CO     HC      1   110.700    313.800   
  CO     OH     HO      1   108.500    460.240   
  OS     CO     HC      1   109.500    292.880   
  CO     OS     CT      1   109.500    502.080   
  CO     CT     HC      1   110.700    313.800   
  CO     CT     OH      1   109.500    418.400   
  OH     CO     HC      1   109.500    292.880   
  HC     CO     HC      1   109.500    276.144   
  CA     OS     NB      1   108.900    585.760   
  CA     OS     CA      1   111.000    627.600   
  CA     OS     P       1   120.500    836.800   
  C3     OS     P       1   120.500    836.800   
  CT     OS     CT      1   109.500    502.080   
  CT     OS     CA      1   111.000    627.600   
  CT     OS     CM      1   111.000    627.600   
  CT     OS     P       1   120.500    836.800   
  O2     P      O2      1   119.900   1171.520   
  O2     P      OH      1   108.230    376.560   
  O2     P      OS      1   108.230    836.800   
  OH     P      OS      1   102.600    376.560   
  OS     P      OS      1   102.600    376.560   
  O      P      OH      1   108.230    836.800   
  O      P      OS      1   108.230    836.800   
  OH     P      OH      1   102.600    376.560   
  CT     P      OS      1   109.500    376.560   
  CT     P      O2      1   109.500    376.560   
  CT     P      O       1   109.500    376.560   
  CA     P      OS      1   109.500    376.560   
  CA     P      OH      1   109.500    376.560   
  CA     P      O       1   109.500    376.560   
  C3     S      LP      1    96.700   1255.200   
  C3     S      S       1   103.700    569.024   
  CT     S      CT      1    98.900    518.816   
  CR     S      CW      1    90.000    619.232   
  CW     S      CW      1    97.000    619.232   
  CT     S      LP      1    96.700   1255.200   
  CT     S      S       1   103.700    569.024   
  LP     S      LP      1   160.000      0.000   
  LP     S      S       1    96.700   1255.200   
  C3     SH     HS      1    96.000    368.192   
  C3     SH     LP      1    96.700   1255.200   
  CT     SH     HS      1    96.000    368.192   
  CA     SH     HS      1    96.000    418.400   
  CT     SH     LP      1    96.700   1255.200   
  HS     SH     HS      1    92.070    292.880   
  HS     SH     LP      1    96.700   1255.200   
  LP     SH     LP      1   160.000      0.000   
  P      OS     P       1   120.500    836.800   
  CA     CT     CA      1   109.500    334.720   
  CA     CT     C       1   112.000    527.184   
  CA     CT     C_2     1   112.000    527.184   
  CA     CT     C_3     1   112.000    527.184   
  CT     CA     NA      1   120.000    585.760   
  CT     CA     N2      1   120.100    585.760   
  N2     CA     N       1   120.000    585.760   
  CA     NA     CA      1   125.200    585.760   
  CA     CA     NB      1   108.700    585.760   
  NA     CA     NB      1   123.300    585.760   
  CA     NB     CA      1   125.200    585.760   
  HA     CA     NB      1   119.100    292.880   
  CA     CA     N       1   120.000    585.760   
  CA     N      H       1   119.800    292.880   
  CB     CT     HC      1   109.500    292.880   
  CA     CB     CT      1   120.000    585.760   
  CB     CA     NA      1   108.700    585.760   
  CB     CB     CT      1   120.000    585.760   
  CB     CB     NB      1   110.400    585.760   
  CB     CT     CT      1   114.000    527.184   
  CT     CT     F       1   109.500    418.400   
  CT_4   CT     F       1   109.500    418.400   
  CA     CT     F       1   109.500    418.400   
  F      CT     F       1   109.100    644.336   
  HC     CT     F       1   107.000    334.720   
  CT     C      C       1   117.200    669.440   
  CT     C      C_2     1   117.200    669.440   
  CT     C      C_3     1   117.200    669.440   
  CT     C_2    C       1   117.200    669.440   
  CT     C_2    C_2     1   117.200    669.440   
  CT     C_2    C_3     1   117.200    669.440   
  C      C      O       1   121.400    669.440   
  C      C      O_2     1   121.400    669.440   
  C      C      O_3     1   121.400    669.440   
  C      C_2    O_2     1   121.400    669.440   
  C_2    C      O       1   121.400    669.440   
  C_2    C      O_2     1   121.400    669.440   
  C_2    C      O_3     1   121.400    669.440   
  C_2    C_2    O_2     1   121.400    669.440   
  C_3    C      O       1   121.400    669.440   
  C_3    C      O_2     1   121.400    669.440   
  C_3    C      O_3     1   121.400    669.440   
  C_3    C_2    O_2     1   121.400    669.440   
  C      C      N       1   116.600    585.760   
  C_2    C      N       1   116.600    585.760   
  C_3    C      N       1   116.600    585.760   
  C      C_2    N       1   116.600    585.760   
  C_2    C_2    N       1   116.600    585.760   
  C_3    C_2    N       1   116.600    585.760   
  OY     SY     N       1   107.000   1004.160   
  OY     SY     OY      1   119.000    870.272   
  OY     SZ     CT      1   107.000    619.232   
  OY     SY     CT      1   108.900    619.232   
  OY     SY     CA      1   107.200    619.232   
  N      SY     CA      1   103.000    836.800   
  SY     CA     CA      1   119.400    711.280   
  SY     CT     HC      1   109.500    292.880   
  SZ     CT     HC      1   109.500    292.880   
  CT     SY     CT      1   102.000    518.816   
  CA     SY     CT      1   102.000    518.816   
  CR     SY     CT      1   102.000    518.816   
  CU     CT     SY      1   119.400    711.280   
  CT     SZ     CT      1    96.000    518.816   
  CT     CT     SY      1   108.600    418.400   
  CT     CT     SZ      1   108.600    418.400   
  N      SY     CT      1   103.000    836.800   
  SY     N      CT      1   120.000    418.400   
  H      N      SY      1   111.000    836.800   
  OS     C      N       1   111.400    677.808   
  OS     C_2    N       1   111.400    677.808   
  CT     NT     SY      1   108.600    418.400   
  C      CT     F       1   109.500    418.400   
  C_2    CT     F       1   109.500    418.400   
  C_3    CT     F       1   109.500    418.400   
  SY     CT     F       1   109.500    418.400   
  SY     NT     H       1   115.000    292.880   
  C      CW     NA      1   120.000    711.280   
  C_2    CW     NA      1   120.000    711.280   
  C_3    CW     NA      1   120.000    711.280   
  NT     C      CW      1   116.000    585.760   
  C      CW     CS      1   120.000    711.280   
  C_2    CW     CS      1   120.000    711.280   
  C_3    CW     CS      1   120.000    711.280   
  CB     CS     HA      1   120.000    292.880   
  CW     C      O       1   120.400    669.440   
  CW     C      O_2     1   120.400    669.440   
  CW     C      O_3     1   120.400    669.440   
  CW     C_2    O_2     1   120.400    669.440   
  C      NT     CT      1   111.100    527.184   
  C_2    NT     CT      1   111.100    527.184   
  C_3    NT     CT      1   111.100    527.184   
  C      CT     C       1   111.100    527.184   
  C_2    CT     C       1   111.100    527.184   
  C_3    CT     C       1   111.100    527.184   
  C      CT     OS      1   109.500    418.400   
  C_2    CT     OS      1   109.500    418.400   
  C_3    CT     OS      1   109.500    418.400   
  N      CT     OS      1   109.500    418.400   
  NT     C      O       1   120.400    669.440   
  NT     C      O_2     1   120.400    669.440   
  NT     C      O_3     1   120.400    669.440   
  NT     C_2    O_2     1   120.400    669.440   
  NT     C      CT      1   116.000    585.760   
  NT     C_2    CT      1   116.000    585.760   
  CA     NT     C       1   112.000    527.184   
  CA     NT     C_2     1   112.000    527.184   
  CA     NT     C_3     1   112.000    527.184   
  CA     NT     SY      1   108.600    418.400   
  OY     SY     NT      1   108.900    619.232   
  NT     SY     CT      1   102.000    518.816   
  NT     CT     S       1   114.700    418.400   
  HC     CY     NT      1   114.300    292.880   
  CY     CY     NT      1   117.200    313.800   
  CA     NT     CY      1   109.500    418.400   
  NC     CA     Cl      1   120.000    627.600   
  CA     NT     CA      1   109.500    334.720   
  NC     CA     NT      1   116.000    585.760   
  CM     CM     CY      1   124.000    585.760   
  CM     CY     HC      1   109.500    292.880   
  CM     CY     CY      1   114.000    527.184   
  C      CM     CY      1   119.700    585.760   
  C_2    CM     CY      1   119.700    585.760   
  C_3    CM     CY      1   119.700    585.760   
  N*     CM     CT      1   120.000    585.760   
  NA     CM     CT      1   120.000    585.760   
  S      CM     CM      1   119.400    711.280   
  S      CM     N*      1   119.400    711.280   
  S      CM     NA      1   119.400    711.280   
  N*     CM     OS      1   120.000    585.760   
  NA     CM     OS      1   120.000    585.760   
  CA     S      CM      1   104.200    518.816   
  CM     OS     CA      1   111.000    627.600   
  CM     CT     CA      1   109.500    334.720   
  S      CA     CA      1   119.400    711.280   
  P      CA     CA      1   119.400    711.280   
  CA     S      CT      1   104.200    518.816   
  OH     C      N       1   115.43     292.88
  O2 	 S 	CT 	1   107        400
