1048  4
#  i     j       k     l                  coefficients(Kcal/mol) 
  C      CT_2   NT     CT_3     	   -1.7369980880  	1.2510014340      -3.5009990440      0.00000   
  C*     CT     CT     HC       	   -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  C*     CT     CT_2   N        	   0.8450011950  	-0.9620004780      0.7130007170      0.00000   
  C*     CT     CT_2   HC       	   -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  C*     CT     CT_2   N3       	   0.8450011950  	-0.9620004780      0.7130007170      0.00000   
  C*     CW     NA     H        	   0.0000000000  	3.0000000000      0.0000000000       0.00000   
  C*     CW     NA     CN       	   0.0000000000  	3.0000000000      0.0000000000       0.00000   
  C3     CT     OH     HO       	   0.0000000000  	0.0000000000      0.2000000000       0.00000   
  C=     CM     CA     CA       	   1.2410002390  	3.3529995220      -0.2860002390      0.00000   
  C=     CM     CT     CT       	   0.3460026291  	0.4050000000      -0.9039997610      0.00000   
  C=     CM     OS     CT       	   -3.5000000000  	3.0000000000      0.0000000000       0.00000   
  C=     CT     OH     HO       	   -0.9000000000  	0.0000000000      0.0000000000       0.00000   
  CA     C      OH     HO       	   4.0000000000  	5.0000000000      0.0000000000       0.00000   
  CA     C      OS     CT       	   4.0000000000  	5.0000000000      0.0000000000       0.00000   
  CA     N      C      O        	   0.0000000000  	6.0890009560      0.0000000000       0.00000   
  CA     N      C      CT       	   2.3000000000  	6.0890009560      0.0000000000       0.00000   
  CA     N      CT     HC       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     S      CT     HC       	   0.0000023901  	0.0000000000      0.6470004780       0.00000   
  CA     CA     C      N        	   0.0000000000  	1.1000000000      0.0000000000       0.00000   
  CA     CA     C      O        	   0.0000000000  	2.1000000000      0.0000000000       0.00000   
  CA     CA     C      CT       	   0.0000000000  	0.2000000000      0.0000000000       0.00000   
  CA     CA     C      HC       	   0.0000000000  	0.2000000000      0.0000000000       0.00000   
  CA     CA     C      OH       	   0.0000000000  	2.1000000000      0.0000000000       0.00000   
  CA     CA     C      OS       	   0.0000000000  	2.1000000000      0.0000000000       0.00000   
  CA     CA     C      O_2      	   0.0000000000  	2.1000000000      0.0000000000       0.00000   
  CA     CA     C      O_3      	   0.0000000000  	2.1000000000      0.0000000000       0.00000   
  CA     CA     S      CT       	   0.0000000000  	0.6000000000      0.0000000000       0.00000   
  CA     CA     CA     N2       	   0.0000000000  	-4.0000000000      0.0000000000      6.73600   
  CA     CA     CM     CM       	   1.2410002390  	3.3529995220      -0.2860002390      0.00000   
  CA     CA     CM     CT       	   0.2050000000  	-0.5309990440      0.0000000000      0.00000   
  CA     CA     CT     F        	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CA     CT     CT       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CA     CT     Cl       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CA     CT     HC       	   0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CA     N2     H        	   0.0000000000  	2.0300000000      0.0000000000       0.00000   
  CA     CA     N2     H3       	   0.0000000000  	1.4000000000      0.0000000000       0.00000   
  CA     CA     NO     ON       	   0.0000000000  	1.1500000000      0.0000000000       0.00000   
  CA     CA     NT     H        	   0.0000000000  	2.0300000000      0.0000000000       0.00000   
  CA     CA     NT     CT       	    -7.5820004780  	3.4309990440      3.1979995220       0.00000   
  CA     CA     OH     HO       	    0.0000000000  	1.6820004780      0.0000000000       0.00000   
  CA     CA     OS     P        	    0.0000000000  	2.9900000000      0.0000000000       0.00000   
  CT     CT     OS     P        	    0.0000000000  	2.9900000000      0.0000000000       0.00000   
  N3     CT     CT     OS       	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CA     CA     OS     CT       	    0.0000000000  	3.0000000000      0.0000000000       0.00000   
  CA     CA     OS     C_2      	    0.0000000000  	2.5000000000      0.0000000000       0.00000   
  CA     CA     SH     HS       	    0.0000000000  	1.1000000000      0.0000000000       0.00000   
  CA     CA     SY     N        	    1.6560002390  	-0.7679995220      -0.1169992830     0.00000   
  CA     CA     SY2    CT       	    0.0000000000  	-0.9000000000      0.0000000000      0.00000   
  CA     CA     C_2    CT       	    0.0000000000  	0.2000000000      0.0000000000       0.00000   
  CA     CA     C_2    HC       	    0.0000000000  	0.2000000000      0.0000000000       0.00000   
  CA     CT     C      O        	    0.0000000000  	0.5459990440      0.0000000000       0.00000   
  CA     CT     C      O_3      	    0.0000000000  	0.5459990440      0.0000000000       0.00000   
  CT     CT     N      CT       	    2.8589973709  	2.0579995220      -11.2660002390     0.00000   
  CA     CT     N      CT       	    2.8589973709  	2.0579995220      -11.2660002390     0.00000   
  CA     CT     P      O2       	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CT     P      OS       	    2.2500000000  	0.0000000000      0.0000000000       0.00000   
  CA     CT     CT     S        	    2.6190021511  	-0.6200000000      0.2580007170      0.00000   
  CA     CT     CT     CT       	    1.3000000000  	-0.0500000000      0.2000000000      0.00000   
  CA     CT     CT     HC       	    -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  CA     CT     CT_2   HC       	    -0.0000011950  	0.0000000000      0.4619992830       0.00000   
  CA     CT     CT     N3       	    1.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CT     CT     NC       	    2.7319980880  	-0.2290009560      0.4850000000      0.00000   
  CA     CT     CT     NT       	    2.3919980880  	-0.6739985660      0.5500000000      0.00000   
  CA     CT     CT_2   NT       	    2.3919980880  	-0.6739985660      0.5500000000      0.00000   
  CA     CT     CT     OH       	    1.7110002390  	-0.5000000000      0.6630007170      0.00000   
  CA     CT     CT     OS       	    1.7110002390  	-0.5000000000      0.6630007170      0.00000   
  CA     CT     CT     C_2      	    -1.6970028681  	-0.4559990440      0.5850000000      0.00000   
  CA     CT     N2     CA       	    1.8290033461  	0.2429995220      -0.4979995220      0.00000   
  CA     CT     NT     CT       	    0.4160038241  	-0.1279995220      0.6950000000      0.00000   
  CA     CT     OH     HO       	    -0.9000000000  	0.0000000000      0.0000000000       0.00000   
  CA     CT     OS     CO       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CA     CT     OS     CT       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CA     CT     CT_2   N        	    0.8450011950  	-0.9620004780      0.7130007170      0.00000   
  CA     CT     CT_2   N3       	    0.8450011950  	-0.9620004780      0.7130007170      0.00000   
  CA     N2     CA     N2       	    0.0000000000  	7.9359990440      0.0000000000       0.00000   
  CA     N2     CA     NC       	    0.0000000000  	7.9359990440      0.0000000000       0.00000   
  CA     N2     CT     CT       	    1.8290033461  	0.2429995220      -0.4979995220      0.00000   
  CA     NY     CT     CT       	    1.8290033461  	0.2429995220      -0.4979995220      0.00000   
  CA     N2     CT     HC       	    -0.0000023901  	0.0000000000      0.1770004780       0.00000   
  CA     NY     CT     HC       	    -0.0000023901  	0.0000000000      0.1770004780       0.00000   
  CA     NC     CT     CT       	    1.8290033461  	0.2429995220      -0.4979995220      0.00000   
  CA     NT     CT     HC       	    0.0000000000  	0.0000000000      0.5600000000       0.00000   
  CA     OS     C      O        	    0.0000000000  	5.0000000000      0.0000000000       0.00000   
  CA     OS     C      CT       	    1.5000000000  	5.0000000000      0.0000000000       0.00000   
  CA     OS     P      O        	    0.0000000000  	0.0000000000      0.0000000000       0.00000   
  CA     OS     CT     CT       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CA     OS     CT     CA       	    0.6500000000  	-0.2500000000      0.6700000000      0.00000   
  CA     OS     CT     HC       	    0.0000000000  	0.0000000000      0.7600000000       0.00000   
  CA     SY     N      H        	    1.6710002390  	-4.9010014340      0.6689997610      0.00000   
