930  2
#  i    j    k  	     	   cth(Kcal/mol)	 th0(Deg.)     
  CT     C      CA        	   70.00000             116.00000      
  CT     C_2    CA        	   70.00000             116.00000      
  C=     C      CT        	   70.00000             116.00000      
  C=     C_2    CT        	   70.00000             116.00000      
  CT     C_3    O2        	   70.00000             117.00000      
  CT_2   C_3    O2        	   70.00000             117.00000      
  CT     CT     Cl        	   69.00000             109.80000      
  C      CT     Cl        	   69.00000             109.80000      
  C      CT_2   Cl        	   69.00000             109.80000      
  CA     CA     Cl        	   75.00000             120.00000      
  CM     CM     Cl        	   75.00000             121.50000      
  Cl     CM     HC        	   60.00000             114.00000      
  Cl     CT     Cl        	   78.00000             111.70000      
  HC     CT     Cl        	   51.00000             107.60000      
  CT     CT     Br        	   69.00000             110.00000      
  C      CT     Br        	   69.00000             109.80000      
  C_2    CT     Br        	   69.00000             109.80000      
  C_3    CT     Br        	   69.00000             109.80000      
  CT     C      Cl        	   75.00000             109.00000      
  CT     C_2    Cl        	   75.00000             109.00000      
  CT     C      Br        	   75.00000             109.00000      
  CT     C_2    Br        	   75.00000             109.00000      
  O      C      Cl        	   75.00000             119.00000      
  O_2    C      Cl        	   75.00000             119.00000      
  O_3    C      Cl        	   75.00000             119.00000      
  O_2    C_2    Cl        	   75.00000             119.00000      
  O      C      Br        	   75.00000             119.00000      
  O_2    C      Br        	   75.00000             119.00000      
  O_3    C      Br        	   75.00000             119.00000      
  O_2    C_2    Br        	   75.00000             119.00000      
  CA     CA     Br        	   75.00000             120.00000      
  CM     CM     Br        	   75.00000             120.00000      
  Br     CM     HC        	   60.00000             114.00000      
  Br     CT     Br        	   78.00000             111.70000      
  HC     CT     Br        	   51.00000             107.60000      
  CA     CA     I         	   75.00000             120.00000      
  CA     CA     F         	   80.00000             120.00000      
  CM     CM     F         	   80.00000             121.50000      
  C      CM     F         	   80.00000             121.50000      
  F      CM     HC        	   50.00000             112.00000      
  F      CM     F         	   80.00000             108.00000      
