816 1
# name         mass(gm/mol) 
 opls_257   12.01100    -
 opls_258   12.01100     
 opls_259   12.01100     
 opls_260   12.01100     
 opls_261   12.01100     
 opls_262   14.00670    -
 opls_263   12.01100     
 opls_264    35.45300    
 opls_265   14.00670    -
 opls_266   12.01100     
 opls_267   12.01100     
 opls_268   15.99940    -
 opls_269   15.99940    -
 opls_270    1.00800     
 opls_271   12.01100     
 opls_272   15.99940    -
 opls_273   12.01100    -
 opls_274   12.01100    -
 opls_275   12.01100    -
 opls_276   12.01100    -
 opls_277   12.01100     
 opls_278   15.99940    -
 opls_279    1.00800     
 opls_280   12.01100     
 opls_281   15.99940    -
 opls_282    1.00800     
 opls_283   12.01100     
 opls_284   12.01100    -
 opls_285   12.01100    -
 opls_286   14.00670    -
 opls_287   14.00670    -
 opls_288   14.00670     
 opls_289    1.00800     
 opls_290    1.00800     
 opls_291   12.01100     
 opls_292   12.01100     
 opls_292B  12.01100     
 opls_293   12.01100     
 opls_293B  12.01100     
 opls_294   12.01100     
 opls_295   12.01100     
 opls_296   12.01100     
 opls_297   12.01100     
 opls_298   12.01100     
 opls_299   12.01100     
 opls_300   14.00670    -
 opls_301    1.00800     
 opls_302   12.01100     
 opls_303   14.00670    -
 opls_304    1.00800     
 opls_305   12.01100     
 opls_306   12.01100    -
 opls_307   12.01100     
 opls_308   12.01100    -
 opls_309   14.00670    -
 opls_310    1.00800     
 opls_311   14.00670    -
 opls_312   12.01100     
 opls_313   14.00670    -
 opls_314    1.00800     
 opls_315   12.01100    -
 opls_316    1.00800     
 opls_317   12.01100    -
 opls_318    1.00800     
 opls_319   14.00670    -
 opls_319B  14.00670    -
 opls_320   12.01100     
 opls_321   14.00670    -
 opls_322   12.01100     
 opls_323   12.01100    -
 opls_324   12.01100     
 opls_325    1.00800     
 opls_326   15.99940    -
 opls_327    1.00800     
 opls_328   15.99940    -
 opls_329    1.00800     
 opls_330    1.00800     
 opls_331   12.01100    -
 opls_332    1.00800     
 opls_333   14.00670    -
 opls_333B  14.00670    -
 opls_334   12.01100     
 opls_335   14.00670    -
 opls_336   12.01100     
 opls_337   12.01100    -
 opls_338   12.01100     
 opls_339    1.00800     
 opls_340   15.99940    -
 opls_341   14.00670    -
 opls_342    1.00800     
 opls_343    1.00800     
 opls_344    1.00800     
 opls_345    1.00800     
 opls_346   14.00670    -
 opls_347   12.01100     
 opls_348   14.00670    -
 opls_349   12.01100     
 opls_350   12.01100     
 opls_351   12.01100     
 opls_352   14.00670    -
 opls_353   12.01100     
 opls_354   14.00670    -
 opls_354B  14.00670    -
 opls_355    1.00800     
 opls_356   14.00670    -
 opls_357    1.00800     
 opls_358    1.00800     
 opls_359    1.00800     
 opls_360    1.00800     
 opls_361   14.00670    -
 opls_362   12.01100     
 opls_363   14.00670    -
 opls_364   12.01100     
 opls_365   12.01100     
 opls_366   12.01100     
 opls_367    1.00800     
 opls_368   14.00670    -
 opls_369    1.00800     
 opls_370   15.99940    -
 opls_371   12.01100    -
 opls_372    1.00800     
 opls_373   12.01100    -
 opls_374    1.00800     
 opls_375   12.01100    -
 opls_376    1.00800     
 opls_377   14.00670    -
