816  2
# name            epsilon(Kcal/mol)  sigma(Angstrom) 
 opls_183           0.06600          3.50000         
 opls_184           0.06600          3.50000         
 opls_185           0.03000          2.50000         
 opls_186           0.14000          2.90000         
 opls_187           0.17000          3.07000         
 opls_188           0.00000          0.00000         
 opls_189           0.06600          3.50000         
 opls_190           0.03000          2.50000         
 opls_191           0.06600          3.50000         
 opls_192           0.03000          2.50000         
 opls_193           0.06600          3.50000         
 opls_194           0.03000          2.50000         
 opls_195           0.06600          3.50000         
 opls_196           0.03000          2.50000         
 opls_197           0.06600          3.50000         
 opls_198           0.06600          3.50000         
 opls_199           0.07000          3.55000         
 opls_200           0.42500          3.60000         
 opls_201           0.25000          3.70000         
 opls_202           0.35500          3.60000         
 opls_203           0.25000          3.55000         
 opls_204           0.00000          0.00000         
 opls_205           0.00000          0.00000         
 opls_206           0.06600          3.50000         
 opls_207           0.06600          3.50000         
 opls_208           0.06600          3.50000         
 opls_209           0.06600          3.50000         
 opls_210           0.06600          3.50000         
 opls_211           0.06600          3.50000         
 opls_212           0.06600          3.50000         
 opls_213           0.06600          3.50000         
 opls_214           0.06600          3.50000         
 opls_215           0.06600          3.50000         
 opls_216           0.06600          3.50000         
 opls_217           0.06600          3.50000         
 opls_218           0.06600          3.50000         
 opls_219           0.06600          3.50000         
 opls_220           0.06600          3.50000         
 opls_221           0.07000          3.55000         
 opls_222           0.25000          3.55000         
 opls_223           0.06600          3.50000         
 opls_223B          0.06600          3.50000         
 opls_224           0.06600          3.50000         
 opls_224B          0.06600          3.50000         
 opls_225           0.06600          3.50000         
 opls_225B          0.06600          3.50000         
 opls_226           0.30000          3.40000         
 opls_227           0.07600          3.55000         
 opls_228           0.07000          3.55000         
 opls_229           0.06600          3.50000         
 opls_230           0.06600          3.50000         
 opls_231           0.10500          3.75000         
 opls_232           0.10500          3.75000         
 opls_233           0.10500          3.75000         
 opls_234           0.10500          3.75000         
 opls_235           0.10500          3.75000         
 opls_236           0.21000          2.96000         
 opls_237           0.17000          3.25000         
 opls_238           0.17000          3.25000         
 opls_239           0.17000          3.25000         
 opls_240           0.00000          0.00000         
 opls_241           0.00000          0.00000         
 opls_242           0.06600          3.50000         
 opls_243           0.06600          3.50000         
 opls_244           0.06600          3.50000         
 opls_245           0.06600          3.50000         
 opls_246           0.06600          3.50000         
 opls_247           0.10500          3.75000         
 opls_248           0.21000          2.96000         
 opls_249           0.17000          3.25000         
 opls_250           0.00000          0.00000         
 opls_251           0.17000          3.25000         
 opls_252           0.10500          3.75000         
 opls_253           0.21000          2.96000         
 opls_254           0.00000          0.00000         
 opls_255           0.02000          2.50000         
 opls_256           0.06600          3.50000         
 opls_257           0.06600          3.50000         
 opls_258           0.06600          3.50000         
 opls_259           0.06600          3.50000         
 opls_260           0.07000          3.55000         
 opls_261           0.15000          3.65000         
 opls_262           0.17000          3.20000         
 opls_263           0.07000          3.55000         
 opls_264           0.30000          3.40000         
 opls_265           0.17000          3.25000         
 opls_266           0.07000          3.55000         
 opls_267           0.10500          3.75000         
 opls_268           0.17000          3.00000         
 opls_269           0.21000          2.96000         
 opls_270           0.00000          0.00000         
 opls_271           0.10500          3.75000         
 opls_272           0.21000          2.96000         
 opls_273           0.06600          3.50000         
 opls_274           0.06600          3.50000         
 opls_275           0.06600          3.50000         
 opls_276           0.06600          3.50000         
 opls_277           0.10500          3.75000         
 opls_278           0.21000          2.96000         
 opls_279           0.01500          2.42000         
 opls_280           0.10500          3.75000         
 opls_281           0.21000          2.96000         
 opls_282           0.01500          2.42000         
 opls_283           0.06600          3.50000         
 opls_284           0.06600          3.50000         
 opls_285           0.06600          3.50000         
 opls_286           0.17000          3.25000         
 opls_287           0.17000          3.25000         
 opls_288           0.17000          3.25000         
 opls_289           0.00000          0.00000         
 opls_290           0.00000          0.00000         
 opls_291           0.06600          3.50000         
 opls_292           0.06600          3.50000         
 opls_292B          0.06600          3.50000         
 opls_293           0.06600          3.50000         
 opls_293B          0.06600          3.50000         
 opls_294           0.06600          3.50000         
 opls_295           0.06600          3.50000         
 opls_296           0.06600          3.50000         
 opls_297           0.06600          3.50000         
 opls_298           0.06600          3.50000         
 opls_299           0.06600          3.50000         
 opls_300           0.17000          3.25000         
 opls_301           0.00000          0.00000         
 opls_302           0.05000          2.25000         
 opls_303           0.17000          3.25000         
 opls_304           0.00000          0.00000         
 opls_305           0.06600          3.50000         
 opls_306           0.06600          3.50000         
 opls_307           0.06600          3.50000         
 opls_308           0.06600          3.50000         
 opls_309           0.17000          3.25000         
 opls_310           0.00000          0.00000         
 opls_311           0.17000          3.25000         
 opls_312           0.08000          3.50000         
 opls_313           0.17000          3.25000         
 opls_314           0.00000          0.00000         
 opls_315           0.08000          3.50000         
 opls_316           0.05000          2.50000         
 opls_317           0.08000          3.50000         
 opls_318           0.05000          2.50000         
 opls_319           0.17000          3.25000         
 opls_319B          0.17000          3.25000         
 opls_320           0.10500          3.75000         
 opls_321           0.17000          3.25000         
 opls_322           0.10500          3.75000         
 opls_323           0.08000          3.50000         
 opls_324           0.08000          3.50000         
 opls_325           0.00000          0.00000         
 opls_326           0.21000          2.96000         
 opls_327           0.00000          0.00000         
 opls_328           0.21000          2.96000         
 opls_329           0.05000          2.50000         
 opls_330           0.05000          2.50000         
 opls_331           0.08000          3.50000         
 opls_332           0.05000          2.50000         
 opls_333           0.17000          3.25000         
 opls_333B          0.17000          3.25000         
 opls_334           0.10500          3.75000         
 opls_335           0.17000          3.25000         
 opls_336           0.08000          3.50000         
 opls_337           0.08000          3.50000         
