816 1
# name  bond_type 
 opls_310   H3  
 opls_311   NC  
 opls_312   CA  
 opls_313   N2  
 opls_314   H   
 opls_315   CA  
 opls_316   HA  
 opls_317   CA  
 opls_318   HA  
 opls_319   NA  
 opls_319B  N*  
 opls_320   C   
 opls_321   NA  
 opls_322   C   
 opls_323   CM  
 opls_324   CM  
 opls_325   H   
 opls_326   O   
 opls_327   H   
 opls_328   O   
 opls_329   HC  
 opls_330   HC  
 opls_331   CT  
 opls_332   HC  
 opls_333   NA  
 opls_333B  N*  
 opls_334   C   
 opls_335   NC  
 opls_336   CA  
 opls_337   CM  
 opls_338   CM  
 opls_339   H   
 opls_340   O   
 opls_341   N2  
 opls_342   H   
 opls_343   H   
 opls_344   HC  
 opls_345   H4  
 opls_346   NC  
 opls_347   CQ  
 opls_348   NC  
 opls_349   CB  
 opls_350   CB  
 opls_351   CA  
 opls_352   NB  
 opls_353   CK  
 opls_354   NA  
 opls_354B  N*  
 opls_355   H5  
 opls_356   N2  
 opls_357   H   
 opls_358   H   
 opls_359   H5  
 opls_360   H   
 opls_361   NA  
 opls_362   CA  
 opls_363   NC  
 opls_364   CB  
 opls_365   CB  
 opls_366   C   
 opls_367   H   
 opls_368   N2  
 opls_369   H   
 opls_370   O   
 opls_371   CT  
 opls_372   HC  
 opls_373   CT  
 opls_374   HC  
 opls_375   CT  
 opls_376   HC  
 opls_377   NA  
 opls_377B  N*  
 opls_378   C   
 opls_379   NA  
 opls_380   CA  
 opls_381   CM  
 opls_382   CM  
 opls_383   H   
 opls_384   O   
 opls_385   H   
 opls_386   N2  
 opls_387   H   
 opls_388   H   
 opls_389   HA  
 opls_390   H4  
 opls_391   CT  
 opls_392   HC  
 opls_393   P   
 opls_394   O2  
 opls_395   OS  
 opls_396   CT  
 opls_400   F-  
 opls_401   Cl- 
 opls_402   Br- 
 opls_403   I-  
 opls_404   Li+ 
 opls_405   Na+ 
 opls_406   Li+ 
 opls_407   Na+ 
 opls_408   K+  
 opls_409   Rb+ 
 opls_410   Cs+ 
 opls_411   Mg2+
 opls_412   Ca2+
 opls_413   Sr2+
 opls_414   Ba2+
 opls_415   C3  
 opls_416   HC  
 opls_417   SH  
 opls_418   C3  
 opls_419   HC  
 opls_420   OH  
 opls_421   CT  
 opls_422   HC  
 opls_423   CZ  
 opls_424   NZ  
 opls_425   C3  
 opls_426   HC  
 opls_427   N3  
 opls_428   H   
 opls_429   C3  
 opls_430   HC  
 opls_431   CT  
 opls_432   HC  
 opls_433   LP  
 opls_434   OH  
 opls_435   HO  
 opls_436   U   
 opls_437   OU  
 opls_440   P   
 opls_441   O2  
 opls_442   OS  
 opls_443   CT  
 opls_444   HC  
 opls_445   P   
 opls_446   O2  
 opls_447   OS  
 opls_448   CT  
 opls_449   HC  
 opls_450   P   
 opls_451   O2  
 opls_452   OS  
 opls_453   CT  
 opls_454   HC  
 opls_455   CT  
 opls_456   HC  
 opls_457   CA  
 opls_458   CT  
 opls_459   HC  
 opls_460   CA  
 opls_461   CT  
 opls_462   HC  
 opls_463   CA  
 opls_465   C_2 
 opls_466   O_2 
 opls_467   OS  
 opls_468   CT  
 opls_469   HC  
 opls_470   C   
 opls_471   C   
 opls_472   CA  
 opls_473   OS  
 opls_474   SY  
 opls_475   OY  
 opls_476   CT  
 opls_477   HC  
 opls_478   N   
 opls_479   H   
 opls_480   N   
 opls_481   H   
 opls_482   CT  
 opls_483   HC  
 opls_484   CT  
 opls_485   HC  
 opls_486   CT  
 opls_487   HC  
 opls_488   CA  
 opls_490   CT  
 opls_491   CT  
 opls_492   CT  
 opls_493   SY2 
 opls_494   OY  
 opls_496   SZ  
 opls_497   OY  
