820 1
# name         charge(e)
 opls_277   0.450          
 opls_278   0.450          
 opls_279   0.000          
 opls_280   0.470          
 opls_281   0.470          
 opls_282   0.060          
 opls_283   0.040          
 opls_284   0.020          
 opls_285   0.090          
 opls_286   0.400          
 opls_287   0.300          
 opls_288   0.000          
 opls_289   0.350          
 opls_290   0.330          
 opls_291   0.130          
 opls_292   0.190          
 opls_292B  0.190          
 opls_293   0.250          
 opls_293B  0.250          
 opls_294   0.310          
 opls_295   0.120          
 opls_296   0.170          
 opls_297   0.110          
 opls_298   0.090          
 opls_299   0.150          
 opls_300   0.800          
 opls_301   0.460          
 opls_302   0.640          
 opls_303   0.700          
 opls_304   0.440          
 opls_305   0.200          
 opls_306   0.110          
 opls_307   0.190          
 opls_308   0.050          
 opls_309   0.200          
 opls_310   0.310          
 opls_311   0.460          
 opls_312   0.360          
 opls_313   0.850          
 opls_314   0.370          
 opls_315   0.150          
 opls_316   0.100          
 opls_317   0.040          
 opls_318   0.100          
 opls_319   0.600          
 opls_319B  0.600          
 opls_320   0.500          
 opls_321   0.510          
 opls_322   0.450          
 opls_323   0.070          
 opls_324   0.080          
 opls_325   0.410          
 opls_326   0.400          
 opls_327   0.360          
 opls_328   0.420          
 opls_329   0.100          
 opls_330   0.100          
 opls_331   0.140          
 opls_332   0.080          
 opls_333   0.560          
 opls_333B  0.560          
 opls_334   0.550          
 opls_335   0.540          
 opls_336   0.460          
 opls_337   0.060          
 opls_338   0.100          
 opls_339   0.380          
 opls_340   0.480          
 opls_341   0.790          
 opls_342   0.385          
 opls_343   0.355          
 opls_344   0.100          
 opls_345   0.100          
 opls_346   0.530          
 opls_347   0.220          
 opls_348   0.550          
 opls_349   0.380          
 opls_350   0.150          
 opls_351   0.440          
 opls_352   0.490          
 opls_353   0.200          
 opls_354   0.500          
 opls_354B  0.500          
 opls_355   0.200          
 opls_356   0.810          
 opls_357   0.385          
 opls_358   0.355          
 opls_359   0.200          
 opls_360   0.350          
 opls_361   0.560          
 opls_362   0.460          
 opls_363   0.510          
 opls_364   0.340          
 opls_365   0.120          
 opls_366   0.520          
 opls_367   0.380          
 opls_368   0.800          
 opls_369   0.400          
 opls_370   0.510          
 opls_371   0.010          
 opls_372   0.120          
 opls_373   0.010          
 opls_374   0.140          
 opls_375   0.010          
 opls_376   0.130          
 opls_377   0.640          
 opls_377B  0.640          
 opls_378   0.650          
 opls_379   0.740          
 opls_380   0.660          
 opls_381   0.060          
 opls_382   0.100          
 opls_383   0.490          
 opls_384   0.300          
 opls_385   0.480          
 opls_386   0.810          
 opls_387   0.460          
 opls_388   0.430          
 opls_389   0.140          
 opls_390   0.140          
 opls_391   0.010          
 opls_392   0.160          
 opls_393    0.780         
 opls_394   0.660          
 opls_395   0.430          
 opls_396   0.020          
 opls_400   1.000          
 opls_401   -1.000         
 opls_402   -1.000         
 opls_403   -1.000         
 opls_404   1.000          
 opls_405    1.000         
 opls_406   1.000          
 opls_407    1.000         
 opls_408    1.000         
 opls_409    1.000         
 opls_410    1.000         
 opls_411    2.000         
 opls_412    2.000         
 opls_413    2.000         
 opls_414     2.000        
 opls_415   0.400          
 opls_416   0.100          
 opls_417   -0.900         
 opls_418   0.200          
 opls_419   0.060          
 opls_420   0.980          
 opls_421   1.070          
 opls_422   0.190          
 opls_423   0.510          
 opls_424   0.820          
 opls_425   0.300          
 opls_426   0.070          
 opls_427   1.310          
 opls_428   0.400          
 opls_429   0.400          
 opls_430   0.080          
 opls_431   0.000          
 opls_432   0.070          
 opls_433   0.980          
 opls_434   1.300          
 opls_435   0.300          
 opls_436   2.500          
 opls_437   0.250          
 opls_440    1.620         
 opls_441   0.920          
 opls_442   0.600          
 opls_443   0.300          
 opls_444   0.030          
 opls_445    1.920         
 opls_446   1.120          
 opls_447   0.700          
 opls_448   0.440          
 opls_449   0.100          
 opls_450    1.620         
 opls_451   0.970          
 opls_452   0.630          
 opls_453   0.280          
 opls_454   0.020          
 opls_455   0.510          
 opls_456   0.080          
 opls_457   0.140          
 opls_458   0.320          
 opls_459   0.020          
 opls_460   0.040          
 opls_461   0.470          
 opls_462   0.120          
 opls_463   0.140          
 opls_465   0.510          
 opls_466   0.430          
 opls_467   0.330          
 opls_468   0.160          
 opls_469   0.030          
 opls_470   0.635          
 opls_471   0.625          
 opls_472   0.135          
 opls_473   0.215          
 opls_474    1.480         
 opls_475   0.680          
 opls_476   0.540          
 opls_477   0.180          
 opls_478   1.000          
 opls_479   0.440          
 opls_480   0.800          
 opls_481   0.410          
 opls_482   0.180          
 opls_483       0.030      
 opls_484       0.390      
 opls_485      -0.060      
 opls_486      -0.180      
 opls_487       0.060      
 opls_488       0.000      
 opls_490       0.190      
 opls_491       0.220      
 opls_492       0.250      
 opls_493       1.374      
 opls_494      -0.687      
 opls_496       0.130      
 opls_497      -0.420      
 opls_498      -0.035      
 opls_499       0.025      
 opls_500       0.075      
 opls_501      -0.055      
 opls_502       0.130      
 opls_503      -0.570      
 opls_504       0.420      
 opls_505      -0.005      
 opls_506       0.182      
 opls_507       0.504      
 opls_508      -0.261      
 opls_509       0.385      
 opls_510       0.215      
 opls_511      -0.564      
 opls_512      -0.540      
 opls_513       0.460      
 opls_514      -0.115      
 opls_515       0.055      
 opls_516       0.115      
 opls_517      -0.030      
 opls_518       0.085      
 opls_520      -0.678      
 opls_521       0.473      
 opls_522      -0.447      
 opls_523       0.227      
 opls_524       0.012      
 opls_525       0.155      
 opls_526       0.065      
 opls_527      -0.468      
 opls_528       0.192      
 opls_529       0.042      
 opls_530      -0.839      
 opls_531       0.874      
 opls_532       0.653      
 opls_533      -0.689      
 opls_534      -0.032      
 opls_535       0.011      
 opls_536       0.197      
 opls_537      -0.331      
 opls_538       0.378      
 opls_539      -0.160      
 opls_540      -0.009      
 opls_541       0.122      
 opls_542      -0.239      
 opls_543      -0.163      
 opls_544      -0.149      
 opls_545       0.317      
 opls_546       0.155      
 opls_547       0.118      
 opls_548      -0.059      
 opls_549      -0.491      
 opls_550       0.246      
 opls_551      -0.320      
 opls_552      -0.034      
 opls_553       0.301      
 opls_554       0.072      
 opls_555       0.150      
 opls_556       0.135      
 opls_557      -0.257      
 opls_558       0.275      
 opls_559      -0.563      
 opls_560       0.185      
 opls_561      -0.286      
 opls_562       0.306      
 opls_563       0.078      
 opls_564       0.075      
 opls_565       0.187      
 opls_566      -0.190      
 opls_567      -0.019      
 opls_568      -0.154      
 opls_569       0.142      
 opls_570       0.126      
 opls_571      -0.257      
 opls_572       0.511      
 opls_573      -0.590      
 opls_574       0.169      
 opls_575      -0.148      
 opls_576       0.043      
 opls_577       0.091      
 opls_578       0.181      
 opls_579      -0.122      
 opls_580      -0.413      
 opls_581       0.405      
 opls_582      -0.455      
 opls_583       0.250      
 opls_584       0.053      
 opls_585       0.184      
 opls_586       0.098      
 opls_587      -0.500      
 opls_588       0.001      
 opls_589      -0.390      
 opls_590      -0.270      
 opls_591      -0.127      
